station_name,address,lon,lat
落合,空知郡南富良野町落合,142.669104,43.125055
緑が丘,旭川市神楽岡１３条９丁目,142.365701,43.731074
東雲,上川郡上川町東雲,142.716544,43.843693
大久保,潟上市昭和大久保,140.063079,39.87089
中田,つがる市森田町中田,140.364505,40.787424
中川,南陽市小岩沢,140.203553,38.093349
根岸,大沼郡会津美里町米田根岸,139.828603,37.501885
江田,いわき市小川町上小川字江田,140.82609,37.179389
杉田,二本松市杉田町１丁目,140.413663,37.563307
新田,登米市迫町新田,141.119428,38.711475
東京,東京都千代田区丸の内一丁目,139.766103,35.681391
新橋,東京都港区新橋二丁目17,139.758587,35.666195
品川,東京都港区高輪三丁目26-27,139.738999,35.62876
川崎,川崎市川崎区駅前本町,139.697485,35.531311
横浜,横浜市西区高島２丁目,139.622704,35.466195
戸塚,横浜市戸塚区戸塚町,139.534282,35.400432
大船,鎌倉市大船１丁目,139.531127,35.353466
藤沢,藤沢市藤沢,139.487293,35.338882
辻堂,藤沢市辻堂,139.447106,35.336847
大崎,東京都品川区大崎一丁目21-4,139.728439,35.619772
五反田,東京都品川区東五反田一丁目26,139.723822,35.625974
目黒,東京都品川区上大崎二丁目16-9,139.715775,35.633923
恵比寿,東京都渋谷区恵比寿南一丁目5-5,139.71007,35.646685
渋谷,東京都渋谷区道玄坂一丁目1-1,139.701238,35.658871
原宿,東京都渋谷区神宮前一丁目18,139.702592,35.670646
代々木,東京都渋谷区代々木一丁目34-1,139.702042,35.683061
新宿,東京都新宿区新宿三丁目38-1,139.700464,35.689729
新大久保,東京都新宿区百人町一丁目10-15,139.700261,35.700875
高田馬場,東京都新宿区高田馬場一丁目35-1,139.703715,35.712677
目白,東京都豊島区目白三丁目3-1,139.706228,35.720476
池袋,東京都豊島区南池袋一丁目28-2,139.711086,35.730256
大塚,東京都豊島区南大塚三丁目33-1,139.728584,35.731412
巣鴨,東京都豊島区巣鴨一丁目16-1,139.739303,35.733445
駒込,東京都豊島区駒込二丁目1-1,139.748053,35.736825
田端,東京都北区東田端一丁目17-1,139.761229,35.737781
西日暮里,東京都荒川区西日暮里五丁目22-1,139.766857,35.731954
日暮里,東京都荒川区西日暮里二丁目19-1,139.771287,35.727908
鶯谷,東京都台東区根岸一丁目4-1,139.778015,35.721484
上野,東京都台東区上野七丁目1-1,139.777043,35.71379
御徒町,東京都台東区上野五丁目27,139.774727,35.707282
秋葉原,東京都千代田区外神田一丁目17,139.773288,35.698619
神田,東京都千代田区鍛冶町二丁目13-1,139.770641,35.691173
有楽町,東京都千代田区有楽町二丁目9,139.763806,35.675441
浜松町,東京都港区海岸一丁目3-1,139.757135,35.655391
田町,東京都港区芝五丁目33-36,139.747575,35.645736
尻手,川崎市幸区南幸町３丁目,139.684233,35.530939
矢向,横浜市鶴見区矢向６丁目,139.68055,35.539408
鹿島田,川崎市幸区鹿島田,139.674964,35.551459
平間,川崎市中原区田尻町,139.671039,35.560565
向河原,川崎市中原区下沼部,139.66725,35.572891
武蔵小杉,川崎市中原区小杉町三丁目492,139.65963,35.57669
武蔵中原,川崎市中原区上小田中,139.640613,35.581498
武蔵新城,川崎市中原区上新城２丁目,139.629419,35.587369
津田山,川崎市高津区下作延,139.600002,35.604259
久地,川崎市高津区久地,139.592714,35.610363
宿河原,川崎市多摩区宿河原,139.579565,35.615429
登戸,川崎市多摩区登戸,139.570028,35.620889
中野島,川崎市多摩区中野島,139.5501,35.630135
稲田堤,川崎市多摩区菅稲田堤１丁目,139.535173,35.633701
矢野口,稲城市矢野口,139.520849,35.641305
